福建电信,#genre#
CCTV-1高清,http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV-2高清,http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV-3高清,http://27.148.240.138/PLTV/88888888/224/3221227085/1.m3u8
CCTV-4高清,http://27.148.240.138/PLTV/88888888/224/3221226784/1.m3u8
CCTV-5+高清,http://27.148.240.138/PLTV/88888888/224/3221226850/1.m3u8
CCTV-6高清,http://27.148.240.138/PLTV/88888888/224/3221227089/1.m3u8
CCTV-7高清,http://27.148.240.138/PLTV/88888888/224/3221226780/1.m3u8
CCTV-8高清,http://27.148.240.138/PLTV/88888888/224/3221227120/1.m3u8
CCTV-9高清,http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV-10高清,http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV-11高清,http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8
CCTV-12高清,http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV-13高清,http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8
CCTV-14高清,,http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV-15高清,http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV-16高清,http://27.148.240.138/PLTV/88888888/224/3221227352/1.m3u8
CCTV-17高清,http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8
广东卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227218/1.m3u8
天津卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227222/1.m3u8
浙江卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227226/1.m3u8
北京卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227234/1.m3u8
湖南卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227238/1.m3u8
辽宁卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227242/1.m3u8
甘肃卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227246/1.m3u8
吉林卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227273/1.m3u8
贵州卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227277/1.m3u8
东方卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227281/1.m3u8
深圳卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227285/1.m3u8
四川卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227289/1.m3u8
重庆卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227293/1.m3u8
山东卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227300/1.m3u8
安徽卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227301/1.m3u8
江西卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227304/1.m3u8
宁夏卫视标清,http://27.148.240.138/PLTV/88888888/224/3221227305/1.m3u8
河南卫视高清,http://27.148.240.138/PLTV/88888888/224/3221227308/1.m3u8
内蒙古卫视标清,http://27.148.240.138/PLTV/88888888/224/3221227309/1.m3u8
